anio,geocodigoFundar,pais,variable,valor,valor_pct,tasa_variacion
2012,BRA,Brasil,share_industrial_gdp,0.125546771665503,12.554677166550299,-1.3066158317934011
2013,BRA,Brasil,share_industrial_gdp,0.122697067914599,12.2697067914599,-0.28497037509039913
2014,BRA,Brasil,share_industrial_gdp,0.120130294535614,12.0130294535614,-0.2566773378985001
2015,BRA,Brasil,share_industrial_gdp,0.122354891361983,12.2354891361983,0.22245968263690052
2016,BRA,Brasil,share_industrial_gdp,0.124771256323173,12.4771256323173,0.24163649611899984
2017,BRA,Brasil,share_industrial_gdp,0.124483640989279,12.4483640989279,-0.028761533389399574
2018,BRA,Brasil,share_industrial_gdp,0.122676692456761,12.2676692456761,-0.18069485325180068
2019,BRA,Brasil,share_industrial_gdp,0.120106961418245,12.0106961418245,-0.25697310385159966
2020,BRA,Brasil,share_industrial_gdp,0.123380860173175,12.338086017317499,0.32738987549299914
2021,BRA,Brasil,share_industrial_gdp,0.139076891248829,13.9076891248829,1.569603107565401
2022,BRA,Brasil,share_industrial_gdp,0.150841741069513,15.0841741069513,1.1764849820684002
2023,BRA,Brasil,share_industrial_gdp,0.151731479697354,15.173147969735401,0.08897386278410124
